"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct","oty_month2_emplvl_chg","oty_month2_emplvl_pct","oty_month3_emplvl_chg","oty_month3_emplvl_pct","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct"
"01000","5","7224","56","0","2014","1","","Alabama -- Statewide","Private","Drinking places, alcoholic beverages","State, NAICS 4-digit -- by ownership sector","All establishment sizes",260,1560,1644,1647,5799886,5142927,75270,276,"",0.47,0.33,0.34,0.34,0.39,0.38,0.32,1.17,"",-7,-2.6,-139,-8.2,-92,-5.3,-137,-7.7,-52100,-0.9,-36732,-0.7,-15918,-17.5,17,6.6
"01000","5","7224","56","0","2014","2","","Alabama -- Statewide","Private","Drinking places, alcoholic beverages","State, NAICS 4-digit -- by ownership sector","All establishment sizes",269,1720,1757,1755,6307121,3661950,55689,278,"",0.49,0.35,0.35,0.35,0.37,0.48,0.38,1.06,"",2,0.7,-61,-3.4,-34,-1.9,13,0.7,49516,0.8,3043,0.1,-9161,-14.1,6,2.2
"01000","5","7224","56","0","2014","3","","Alabama -- Statewide","Private","Drinking places, alcoholic beverages","State, NAICS 4-digit -- by ownership sector","All establishment sizes",271,1717,1762,1785,6541887,2582918,40531,287,"",0.49,0.34,0.35,0.36,0.37,0.44,0.35,1.07,"",2,0.7,-32,-1.8,7,0.4,29,1.7,132987,2.1,-23831,-0.9,-5545,-12.0,6,2.1
"01000","5","7224","56","0","2014","4","","Alabama -- Statewide","Private","Drinking places, alcoholic beverages","State, NAICS 4-digit -- by ownership sector","All establishment sizes",269,1761,1712,1654,6662994,2182955,34496,300,"",0.49,0.35,0.35,0.34,0.38,0.42,0.35,1.09,"",-1,-0.4,48,2.8,34,2.0,22,1.3,112960,1.7,92823,4.4,-3151,-8.4,-1,-0.3
"01003","5","7224","76","0","2014","1","","Baldwin County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",22,132,142,150,554997,449079,4817,302,"",0.87,0.83,0.88,0.88,1.46,1.02,0.69,1.69,"",3,15.8,6,4.8,5,3.6,2,1.4,31471,6.0,50189,12.6,225,4.9,8,2.7
"01003","5","7224","76","0","2014","2","","Baldwin County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",23,153,174,171,771854,365924,4246,358,"",0.90,0.88,0.97,0.93,1.67,1.03,0.68,1.80,"",2,9.5,-2,-1.3,17,10.8,18,11.8,21337,2.8,67903,22.8,527,14.2,-14,-3.8
"01003","5","7224","76","0","2014","3","","Baldwin County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",22,164,177,173,821242,250470,3358,369,"",0.87,0.89,0.98,0.99,1.69,0.88,0.66,1.77,"",1,4.8,2,1.2,22,14.2,35,25.4,12222,1.5,36403,17.0,490,17.1,-41,-10.0
"01003","5","7224","76","0","2014","4","","Baldwin County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",22,158,141,149,628781,169960,2315,324,"",0.86,0.92,0.84,0.89,1.36,0.86,0.69,1.54,"",0,0.0,12,8.2,8,6.0,20,15.5,-51429,-7.6,31874,23.1,265,12.9,-61,-15.8
"01015","5","7224","76","0","2014","1","N","Calhoun County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","7224","76","0","2014","2","","Calhoun County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,10,5,4,10187,10187,284,124,"",0.35,0.09,0.04,0.03,0.03,0.06,0.09,0.54,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","7224","76","0","2014","3","","Calhoun County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,6,8,8,17933,17933,468,188,"",0.44,0.05,0.07,0.07,0.05,0.13,0.17,0.81,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","7224","76","0","2014","4","N","Calhoun County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
