"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","7224","56","0","2020","1","","Alabama -- Statewide","Private","NAICS 7224 Drinking places, alcoholic beverages","State, NAICS 4-digit -- by ownership sector","All establishment sizes",282,2145,2241,2131,9757948,8413881,95844,346,"",0.53,0.41,0.42,0.42,0.48,0.48,0.62,1.16,"",-2,-0.7,157,7.9,199,9.7,62,3.0,642085,7.0,598361,7.7,16385,20.6,1,0.3
"01000","5","7224","56","0","2020","2","","Alabama -- Statewide","Private","NAICS 7224 Drinking places, alcoholic beverages","State, NAICS 4-digit -- by ownership sector","All establishment sizes",277,913,1405,1850,6580613,2863745,36247,364,"",0.53,0.64,0.64,0.56,0.74,0.91,1.23,1.23,"",-2,-0.7,-1164,-56.0,-639,-31.3,-188,-9.2,-2676873,-28.9,-1355077,-32.1,-10581,-22.6,17,4.9
"01000","5","7224","56","0","2020","3","","Alabama -- Statewide","Private","NAICS 7224 Drinking places, alcoholic beverages","State, NAICS 4-digit -- by ownership sector","All establishment sizes",280,1858,1894,1846,8819517,3443611,51012,364,"",0.53,0.54,0.54,0.50,0.61,0.66,0.94,1.16,"",7,2.6,-176,-8.7,-212,-10.1,-264,-12.5,-544531,-5.8,417816,13.8,14362,39.2,18,5.2
"01000","5","7224","56","0","2020","4","","Alabama -- Statewide","Private","NAICS 7224 Drinking places, alcoholic beverages","State, NAICS 4-digit -- by ownership sector","All establishment sizes",294,1995,2097,2007,11387316,3476318,50103,431,"",0.55,0.50,0.54,0.59,0.72,0.66,0.93,1.34,"",15,5.4,-209,-9.5,-114,-5.2,-145,-6.7,1169891,11.4,609120,21.2,12320,32.6,72,20.1
"01001","5","7224","76","0","2020","1","N","Autauga County, Alabama","Private","NAICS 7224 Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","7224","76","0","2020","2","N","Autauga County, Alabama","Private","NAICS 7224 Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.28,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","7224","76","0","2020","3","N","Autauga County, Alabama","Private","NAICS 7224 Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","7224","76","0","2020","4","N","Autauga County, Alabama","Private","NAICS 7224 Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","7224","76","0","2020","1","","Baldwin County, Alabama","Private","NAICS 7224 Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",25,210,200,201,1105645,920049,11491,418,"",0.92,1.06,0.99,1.04,1.90,1.39,2.19,1.86,"",3,13.6,16,8.2,-3,-1.5,-8,-3.8,47641,4.5,65900,7.7,331,3.0,15,3.7
"01003","5","7224","76","0","2020","2","","Baldwin County, Alabama","Private","NAICS 7224 Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",24,116,157,183,879974,352843,4501,445,"",0.91,2.21,1.86,1.40,3.19,2.21,3.16,1.85,"",2,9.1,-87,-42.9,-55,-25.9,-27,-12.9,-240072,-21.4,-173055,-32.9,-3780,-45.6,31,7.5
